,Close
2014-09-07,0.79880
2014-09-08,0.80090
2014-09-09,0.80250
2014-09-10,0.79730
2014-09-11,0.79525
2014-09-14,0.79690
2014-09-15,0.79720
2014-09-16,0.79658
2014-09-17,0.78980
2014-09-18,0.78591
2014-09-21,0.78678
2014-09-22,0.78490
2014-09-23,0.78380
2014-09-24,0.78280
2014-09-25,0.78100
2014-09-28,0.78020
2014-09-29,0.78120
2014-09-30,0.77876
2014-10-01,0.77950
2014-10-02,0.78410
2014-10-05,0.78385
2014-10-06,0.78662
2014-10-07,0.78720
2014-10-08,0.78823
2014-10-09,0.78713
2014-10-12,0.78530
2014-10-13,0.79180
2014-10-14,0.79516
2014-10-15,0.80180
2014-10-16,0.79550
2014-10-19,0.79224
2014-10-20,0.79194
2014-10-21,0.78900
2014-10-22,0.78791
2014-10-23,0.78910
2014-10-26,0.78767
2014-10-27,0.78760
2014-10-28,0.78907
2014-10-29,0.78920
2014-10-30,0.78812
2014-11-02,0.78260
2014-11-03,0.78190
2014-11-04,0.78424
2014-11-05,0.78150
2014-11-06,0.78143
2014-11-09,0.78452
2014-11-10,0.78400
2014-11-11,0.78330
2014-11-12,0.78819
2014-11-13,0.79428
2014-11-16,0.79901
2014-11-17,0.79600
2014-11-18,0.80187
2014-11-19,0.80011
2014-11-20,0.79920
2014-11-23,0.79060
2014-11-24,0.79190
2014-11-25,0.79370
2014-11-26,0.79210
2014-11-27,0.79224
2014-11-30,0.79654
2014-12-01,0.79251
2014-12-02,0.79160
2014-12-03,0.78463
2014-12-04,0.78990
2014-12-07,0.78970
2014-12-08,0.78680
2014-12-09,0.78974
2014-12-10,0.79220
2014-12-11,0.78830
2014-12-14,0.79250
2014-12-15,0.79530
2014-12-16,0.79467
2014-12-17,0.79210
2014-12-18,0.78420
2014-12-21,0.78218
2014-12-22,0.78450
2014-12-23,0.78430
2014-12-24,0.78420
2014-12-25,0.78430
2014-12-28,0.78230
2014-12-29,0.78331
2014-12-30,0.78110
2014-12-31,0.77616
2015-01-01,0.77590
2015-01-04,0.78148
2015-01-05,0.78240
2015-01-06,0.78444
2015-01-07,0.78330
2015-01-08,0.78163
2015-01-11,0.78147
2015-01-12,0.77980
2015-01-13,0.77630
2015-01-14,0.77351
2015-01-15,0.76650
2015-01-18,0.76360
2015-01-19,0.76850
2015-01-20,0.76230
2015-01-21,0.76675
2015-01-22,0.75580
2015-01-25,0.74227
2015-01-26,0.74556
2015-01-27,0.74840
2015-01-28,0.74519
2015-01-29,0.75160
2015-02-01,0.74950
2015-02-02,0.75461
2015-02-03,0.75660
2015-02-04,0.74560
2015-02-05,0.74850
2015-02-08,0.74250
2015-02-09,0.74426
2015-02-10,0.74172
2015-02-11,0.74196
2015-02-12,0.74087
2015-02-15,0.73978
2015-02-16,0.73800
2015-02-17,0.74260
2015-02-18,0.73840
2015-02-19,0.73700
2015-02-22,0.73950
2015-02-23,0.73340
2015-02-24,0.73355
2015-02-25,0.73190
2015-02-26,0.72671
2015-03-01,0.72430
2015-03-02,0.72760
2015-03-03,0.72757
2015-03-04,0.72590
2015-03-05,0.72342
2015-03-08,0.72003
2015-03-09,0.71720
2015-03-10,0.71000
2015-03-11,0.70600
2015-03-12,0.71333
2015-03-15,0.71030
2015-03-16,0.71310
2015-03-17,0.71828
2015-03-18,0.72510
2015-03-19,0.72276
2015-03-22,0.72422
2015-03-23,0.73212
2015-03-24,0.73502
2015-03-25,0.73680
2015-03-26,0.73260
2015-03-29,0.73117
2015-03-30,0.73120
2015-03-31,0.72400
2015-04-01,0.72591
2015-04-02,0.73300
2015-04-05,0.73670
2015-04-06,0.73420
2015-04-07,0.73009
2015-04-08,0.72490
2015-04-09,0.72480
2015-04-12,0.72440
2015-04-13,0.72070
2015-04-14,0.72070
2015-04-15,0.71995
2015-04-16,0.72094
2015-04-19,0.72212
2015-04-20,0.72078
2015-04-21,0.71920
2015-04-22,0.71310
2015-04-23,0.71853
2015-04-26,0.71608
2015-04-27,0.71437
2015-04-28,0.71520
2015-04-29,0.72040
2015-04-30,0.73020
2015-05-03,0.73840
2015-05-04,0.73720
2015-05-05,0.73705
2015-05-06,0.74400
2015-05-07,0.73000
2015-05-10,0.72520
2015-05-11,0.71520
2015-05-12,0.71608
2015-05-13,0.72110
2015-05-14,0.72290
