,Close
2014-09-03,137.89000
2014-09-04,136.54700
2014-09-07,136.23100
2014-09-08,136.83000
2014-09-09,137.33600
2014-09-10,137.99300
2014-09-11,138.40500
2014-09-14,139.08800
2014-09-15,138.63001
2014-09-16,138.81000
2014-09-17,139.42799
2014-09-18,140.55400
2014-09-21,139.90500
2014-09-22,139.74000
2014-09-23,139.47000
2014-09-24,139.67101
2014-09-25,138.54201
2014-09-28,138.64101
2014-09-29,138.82001
2014-09-30,138.46800
2014-10-01,137.61000
2014-10-02,137.51000
2014-10-05,137.39400
2014-10-06,137.67400
2014-10-07,136.87601
2014-10-08,137.78700
2014-10-09,136.81400
2014-10-12,135.66901
2014-10-13,136.19099
2014-10-14,135.61700
2014-10-15,135.88300
2014-10-16,136.24600
2014-10-19,136.60500
2014-10-20,136.77200
2014-10-21,136.06799
2014-10-22,135.45399
2014-10-23,136.81799
2014-10-26,137.15100
2014-10-27,136.97000
2014-10-28,137.71001
2014-10-29,137.47200
2014-10-30,137.70599
2014-11-02,141.07600
2014-11-03,141.99400
2014-11-04,142.44200
2014-11-05,143.05800
2014-11-06,142.57001
2014-11-09,142.71001
2014-11-10,142.62900
2014-11-11,144.36900
2014-11-12,143.64000
2014-11-13,144.47099
2014-11-16,146.31799
2014-11-17,145.20000
2014-11-18,146.46600
2014-11-19,148.17000
2014-11-20,148.31200
2014-11-23,145.66901
2014-11-24,147.28900
2014-11-25,147.02300
2014-11-26,147.08000
2014-11-27,146.81000
2014-11-30,147.82400
2014-12-01,147.52000
2014-12-02,147.65199
2014-12-03,147.60600
2014-12-04,148.39000
2014-12-07,149.44099
2014-12-08,148.55901
2014-12-09,147.84199
2014-12-10,146.84100
2014-12-11,147.48100
2014-12-14,147.27000
2014-12-15,146.48900
2014-12-16,145.88400
2014-12-17,146.55299
2014-12-18,146.16100
2014-12-21,146.13500
2014-12-22,146.85300
2014-12-23,146.92999
2014-12-24,146.76000
2014-12-25,146.92000
2014-12-28,146.53400
2014-12-29,146.61800
2014-12-30,145.28799
2014-12-31,144.78000
2015-01-01,144.92999
2015-01-04,143.86000
2015-01-05,142.55701
2015-01-06,140.91200
2015-01-07,141.15700
2015-01-08,141.24499
2015-01-11,140.32700
2015-01-12,139.98000
2015-01-13,138.72700
2015-01-14,138.33299
2015-01-15,135.13600
2015-01-18,135.94900
2015-01-19,136.49100
2015-01-20,136.99100
2015-01-21,136.85100
2015-01-22,134.70500
2015-01-25,130.63100
2015-01-26,133.33000
2015-01-27,133.87199
2015-01-28,132.69299
2015-01-29,134.03999
2015-02-01,132.50400
2015-02-02,133.33501
2015-02-03,134.77800
2015-02-04,132.74000
2015-02-05,134.82100
2015-02-08,134.59900
2015-02-09,134.29700
2015-02-10,135.10700
2015-02-11,135.92000
2015-02-12,135.60600
2015-02-15,135.14000
2015-02-16,134.28500
2015-02-17,135.95300
2015-02-18,135.28700
2015-02-19,135.24899
2015-02-22,135.50900
2015-02-23,134.74899
2015-02-24,134.81000
2015-02-25,135.02800
2015-02-26,133.73000
2015-03-01,133.72700
2015-03-02,134.34000
2015-03-03,133.77100
2015-03-04,132.55000
2015-03-05,132.42000
2015-03-08,130.93100
2015-03-09,131.52200
2015-03-10,129.60100
2015-03-11,128.06100
2015-03-12,128.89000
2015-03-15,127.18000
2015-03-16,128.31000
2015-03-17,128.54601
2015-03-18,130.25700
2015-03-19,128.82100
2015-03-22,129.88901
2015-03-23,131.08299
2015-03-24,130.61400
2015-03-25,131.00900
2015-03-26,129.72700
2015-03-29,129.78700
2015-03-30,129.95799
2015-03-31,128.86301
2015-04-01,128.77600
2015-04-02,130.11000
2015-04-05,130.70100
2015-04-06,130.62601
2015-04-07,130.17101
2015-04-08,129.51100
2015-04-09,128.57700
2015-04-12,127.51800
2015-04-13,126.92000
2015-04-14,127.17100
2015-04-15,127.20200
2015-04-16,128.07400
2015-04-19,128.42000
2015-04-20,128.11500
2015-04-21,128.49899
2015-04-22,128.63300
2015-04-23,129.31000
2015-04-26,129.22400
2015-04-27,129.56000
2015-04-28,130.30901
2015-04-29,132.20000
2015-04-30,133.95799
2015-05-03,134.37700
2015-05-04,133.89000
2015-05-05,134.13001
2015-05-06,135.41000
2015-05-07,134.61000
2015-05-10,134.09000
2015-05-11,133.87700
2015-05-12,134.46001
2015-05-13,135.24000
2015-05-14,135.90100
2015-05-17,136.56300
2015-05-18,135.78799
2015-05-19,134.46800
2015-05-20,134.54500
2015-05-21,134.48000
2015-05-24,133.61099
2015-05-25,133.39000
2015-05-26,133.86900
2015-05-27,134.84801
2015-05-28,135.70900
2015-05-31,136.07201
2015-06-01,136.33000
2015-06-02,138.27800
2015-06-03,139.92400
2015-06-04,139.40199
2015-06-07,139.51900
2015-06-08,140.50900
2015-06-09,140.43800
2015-06-10,138.96001
2015-06-11,138.93401
2015-06-14,138.30901
2015-06-15,139.14800
2015-06-16,138.74000
2015-06-17,140.43300
2015-06-18,139.85700
2015-06-21,139.50900
2015-06-22,139.98399
2015-06-23,138.39200
2015-06-24,138.77100
2015-06-25,138.46001
2015-06-28,134.55600
2015-06-29,137.57700
2015-06-30,136.25900
2015-07-01,136.10899
