,Close
2014-09-08,1.24840
2014-09-09,1.24570
2014-09-10,1.25390
2014-09-11,1.25720
2014-09-14,1.25424
2014-09-15,1.25400
2014-09-16,1.25510
2014-09-17,1.26590
2014-09-18,1.27220
2014-09-21,1.27062
2014-09-22,1.27370
2014-09-23,1.27550
2014-09-24,1.27720
2014-09-25,1.28020
2014-09-28,1.28140
2014-09-29,1.27980
2014-09-30,1.28361
2014-10-01,1.28240
2014-10-02,1.27515
2014-10-05,1.27540
2014-10-06,1.27074
2014-10-07,1.26989
2014-10-08,1.26840
2014-10-09,1.27015
2014-10-12,1.27293
2014-10-13,1.26260
2014-10-14,1.25713
2014-10-15,1.24671
2014-10-16,1.25670
2014-10-19,1.26200
2014-10-20,1.26250
2014-10-21,1.26710
2014-10-22,1.26889
2014-10-23,1.26680
2014-10-26,1.26908
2014-10-27,1.26920
2014-10-28,1.26710
2014-10-29,1.26680
2014-10-30,1.26860
2014-11-02,1.27736
2014-11-03,1.27850
2014-11-04,1.27490
2014-11-05,1.27909
2014-11-06,1.27929
2014-11-09,1.27450
2014-11-10,1.27520
2014-11-11,1.27622
2014-11-12,1.26850
2014-11-13,1.25851
2014-11-16,1.25130
2014-11-17,1.25610
2014-11-18,1.24690
2014-11-19,1.24960
2014-11-20,1.25090
2014-11-23,1.26450
2014-11-24,1.26232
2014-11-25,1.25950
2014-11-26,1.26240
2014-11-27,1.26200
2014-11-30,1.25496
2014-12-01,1.26170
2014-12-02,1.26289
2014-12-03,1.27410
2014-12-04,1.26570
2014-12-07,1.26600
2014-12-08,1.27075
2014-12-09,1.26600
2014-12-10,1.26210
2014-12-11,1.26830
2014-12-14,1.26140
2014-12-15,1.25710
2014-12-16,1.25810
2014-12-17,1.26203
2014-12-18,1.27480
2014-12-21,1.27820
2014-12-22,1.27440
2014-12-23,1.27462
2014-12-24,1.27480
2014-12-25,1.27390
2014-12-28,1.27780
2014-12-29,1.27630
2014-12-30,1.27980
2014-12-31,1.28720
2015-01-01,1.28850
2015-01-04,1.27940
2015-01-05,1.27800
2015-01-06,1.27446
2015-01-07,1.27630
2015-01-08,1.27900
2015-01-11,1.27940
2015-01-12,1.28210
2015-01-13,1.28770
2015-01-14,1.29240
2015-01-15,1.30429
2015-01-18,1.30930
2015-01-19,1.30120
2015-01-20,1.31160
2015-01-21,1.30410
2015-01-22,1.32270
