,Close
2014-11-07,263.32999
2014-11-10,266.98001
2014-11-11,268.53000
2014-11-12,267.56000
2014-11-13,270.91000
2014-11-14,268.28000
2014-11-17,270.72000
2014-11-18,270.85999
2014-11-19,272.85999
2014-11-20,276.56000
2014-11-21,277.67999
2014-11-24,272.89001
2014-11-25,278.69000
2014-11-26,279.32001
2014-11-27,278.26001
2014-11-28,279.59000
2014-12-01,289.70001
2014-12-02,281.03000
2014-12-03,280.88000
2014-12-04,280.64999
2014-12-05,279.45999
2014-12-08,281.91000
2014-12-09,288.64001
2014-12-10,283.01999
2014-12-11,284.51999
2014-12-12,282.69000
2014-12-15,279.67001
2014-12-16,284.59000
2014-12-17,291.12000
2014-12-18,289.32001
2014-12-19,288.57001
2014-12-22,287.84000
2014-12-23,283.00000
2014-12-24,284.70001
2014-12-25,284.59000
2014-12-26,284.60999
2014-12-30,285.73001
2014-12-31,286.04001
2015-01-01,286.10001
2015-01-02,281.35999
2015-01-05,280.14999
2015-01-06,278.07999
2015-01-07,276.73999
2015-01-08,271.62000
2015-01-09,275.01001
2015-01-12,273.34000
2015-01-13,278.45001
2015-01-14,279.72000
2015-01-15,281.98001
2015-01-16,281.29001
2015-01-19,283.69000
2015-01-20,286.98001
2015-01-21,280.42001
2015-01-22,282.01999
2015-01-23,286.94000
2015-01-26,288.67999
2015-01-27,291.85999
2015-01-28,287.73001
2015-01-29,284.95999
2015-01-30,287.23001
2015-02-02,284.22000
2015-02-03,288.01999
2015-02-04,292.09000
2015-02-05,295.01999
2015-02-06,295.72000
2015-02-09,298.47000
2015-02-10,305.09000
2015-02-11,311.00000
2015-02-12,315.28000
2015-02-13,315.23999
2015-02-16,306.59000
2015-02-17,307.14001
2015-02-18,305.87000
2015-02-19,306.89001
2015-02-20,308.12000
2015-02-23,310.14001
2015-02-24,310.76999
2015-02-25,313.07001
2015-02-26,311.45999
2015-02-27,312.78000
2015-03-02,309.04001
2015-03-03,308.26001
2015-03-04,305.07999
2015-03-05,305.14001
2015-03-06,300.13000
2015-03-09,301.79999
2015-03-10,300.76999
2015-03-11,298.06000
2015-03-12,297.20999
2015-03-13,294.63000
2015-03-16,296.13000
2015-03-17,294.66000
2015-03-18,297.92999
2015-03-19,293.89001
2015-03-20,297.78000
2015-03-23,298.14999
2015-03-24,295.57001
2015-03-25,296.35001
2015-03-26,295.67999
2015-03-27,296.29001
2015-03-30,294.95001
2015-03-31,295.32999
2015-04-01,295.35999
2015-04-02,295.45999
2015-04-03,297.12000
2015-04-06,296.53000
2015-04-07,295.20999
2015-04-08,296.26001
2015-04-09,293.07001
2015-04-10,291.41000
2015-04-13,292.17001
2015-04-14,294.26999
2015-04-15,295.23001
2015-04-16,297.35999
2015-04-17,297.89001
2015-04-20,296.70999
2015-04-21,297.23001
2015-04-22,299.35001
2015-04-23,299.79001
2015-04-24,302.51001
2015-04-27,301.79001
2015-04-28,305.44000
2015-04-29,307.17999
2015-04-30,304.28000
2015-05-01,300.00000
2015-05-04,301.06000
2015-05-05,302.07001
2015-05-06,303.54999
2015-05-07,307.04999
2015-05-08,307.91000
2015-05-11,310.26001
2015-05-12,312.03000
2015-05-13,313.51999
2015-05-14,314.19000
2015-05-15,313.07001
2015-05-18,311.85001
2015-05-19,308.95999
2015-05-20,309.34000
2015-05-21,311.89999
2015-05-22,308.51999
2015-05-25,308.13000
2015-05-26,306.59000
2015-05-27,305.67999
2015-05-28,305.07001
2015-05-29,304.60001
2015-06-01,301.23001
2015-06-02,305.44000
2015-06-03,305.23999
2015-06-04,305.70999
2015-06-05,303.91000
2015-06-08,305.34000
2015-06-09,306.25000
2015-06-10,308.75000
2015-06-11,308.78000
2015-06-12,309.79001
2015-06-15,310.60001
2015-06-16,311.59000
2015-06-17,315.07001
2015-06-18,316.16000
2015-06-19,316.19000
2015-06-22,314.84000
2015-06-23,313.20001
2015-06-24,312.62000
2015-06-25,313.26999
2015-06-26,313.42999
2015-06-29,313.10001
2015-06-30,312.28000
2015-07-01,311.03000
2015-07-02,310.75000
2015-07-03,310.03000
2015-07-06,310.59000
2015-07-07,307.78000
2015-07-08,305.81000
2015-07-09,306.14000
2015-07-10,308.88000
2015-07-13,308.40000
2015-07-14,311.24000
2015-07-15,311.31000
2015-07-16,310.69000
2015-07-17,310.70000
2015-07-20,309.83000
2015-07-21,309.85000
2015-07-22,310.83000
2015-07-23,308.90000
2015-07-24,308.77000
2015-07-27,309.80000
2015-07-28,310.85000
2015-07-29,310.80000
2015-07-30,310.54000
2015-07-31,308.68000
2015-08-03,310.40000
2015-08-04,310.00000
2015-08-05,310.63000
2015-08-06,308.81000
2015-08-07,308.29000
2015-08-10,310.39000
2015-08-11,310.30000
2015-08-12,310.88000
2015-08-13,310.68000
2015-08-14,311.47000
2015-08-17,310.24000
2015-08-18,311.92000
2015-08-19,312.24000
2015-08-20,312.50000
2015-08-21,312.50000
2015-08-24,313.58000
2015-08-25,312.69000
2015-08-26,308.17000
2015-08-27,306.89000
2015-08-28,306.52000
2015-08-31,305.63000
2015-09-01,304.84000
2015-09-02,304.86000
2015-09-03,303.54000
2015-09-04,299.79000
2015-09-07,302.05000
2015-09-08,306.56000
2015-09-09,305.84000
2015-09-10,307.54000
2015-09-11,307.31000
2015-09-14,307.10000
2015-09-15,305.59000
2015-09-16,308.61000
2015-09-17,310.24000
2015-09-18,309.16000
2015-09-21,307.39000
2015-09-22,305.89000
2015-09-23,303.70000
2015-09-24,303.06000
2015-09-25,302.15000
2015-09-28,301.95000
2015-09-29,301.49000
2015-09-30,299.74000
2015-10-01,299.92000
2015-10-02,302.47000
2015-10-05,301.68000
2015-10-06,303.32000
2015-10-07,304.97000
2015-10-08,305.66000
2015-10-09,305.07000
2015-10-12,305.59000
2015-10-13,303.75000
2015-10-14,308.20000
2015-10-15,308.13000
2015-10-16,307.45000
2015-10-19,308.04000
2015-10-20,307.60000
2015-10-21,306.78000
2015-10-22,306.45000
2015-10-23,304.98000
2015-10-26,304.69000
2015-10-27,304.96000
2015-10-28,304.11000
2015-10-29,305.04000
2015-10-30,307.12000
2015-11-02,306.85000
2015-11-03,306.96000
2015-11-04,306.42000
2015-11-05,301.46000
2015-11-06,298.20000
2015-11-09,301.03000
2015-11-10,301.09000
2015-11-11,302.97000
2015-11-12,303.29000
2015-11-13,303.42000
2015-11-16,302.73000
2015-11-17,302.88000
2015-11-18,303.33000
2015-11-19,304.45000
2015-11-20,302.53000
2015-11-23,301.23000
2015-11-24,300.42000
2015-11-25,301.26000
2015-11-26,300.57000
2015-11-27,299.42000
2015-11-30,299.83000
2015-12-01,300.28000
2015-12-02,297.68000
2015-12-03,301.21000
2015-12-04,299.36000
2015-12-07,299.71000
2015-12-08,298.97000
2015-12-09,302.29000
2015-12-10,301.07000
2015-12-11,303.09000
2015-12-14,302.25000
2015-12-15,299.42000
2015-12-16,298.55000
2015-12-17,295.40000
2015-12-18,296.60000
2015-12-21,294.95000
2015-12-22,295.28000
2015-12-23,296.23000
2015-12-24,296.97000
2015-12-25,297.29000
2015-12-28,296.24000
2015-12-29,294.74000
2015-12-30,295.10000
2015-12-31,293.63000
2016-01-01,293.45000
2016-01-04,293.11000
2016-01-05,292.04000
2016-01-06,289.95000
2016-01-07,290.61000
2016-01-08,289.23000
2016-01-11,289.10000
2016-01-12,287.34000
2016-01-13,286.66000
2016-01-14,286.37000
2016-01-15,283.98000
2016-01-18,283.63000
2016-01-19,280.67000
2016-01-20,282.29000
2016-01-21,283.06000
2016-01-22,284.02000
2016-01-25,283.69000
2016-01-26,285.77000
2016-01-27,283.17000
2016-01-28,285.38000
2016-01-29,283.76000
2016-02-01,287.36000
2016-02-02,285.65000
2016-02-03,290.02000
2016-02-04,290.41000
2016-02-05,288.82000
2016-02-08,287.32000
2016-02-09,288.15000
2016-02-10,288.97000
2016-02-11,288.40000
2016-02-12,288.88000
2016-02-15,287.46000
2016-02-16,284.75000
2016-02-17,284.57000
2016-02-18,285.56000
2016-02-19,286.92000
2016-02-22,281.83000
2016-02-23,279.31000
2016-02-24,277.47000
2016-02-25,278.01000
2016-02-26,276.26000
2016-02-29,277.43000
2016-03-01,277.84000
2016-03-02,280.38000
2016-03-03,282.27000
2016-03-04,283.36000
2016-03-07,283.78000
2016-03-08,283.01000
2016-03-09,283.09000
2016-03-10,284.12000
2016-03-11,284.96000
2016-03-14,284.79000
2016-03-15,281.97000
2016-03-16,283.15000
2016-03-17,288.27000
2016-03-18,288.13000
2016-03-21,285.93000
2016-03-22,283.04000
2016-03-23,281.18000
2016-03-24,281.23000
2016-03-25,281.00000
2016-03-28,283.94000
2016-03-29,285.04000
2016-03-30,285.21000
2016-03-31,285.24000
2016-04-01,283.10000
2016-04-04,284.05000
2016-04-05,281.74000
2016-04-06,281.24000
2016-04-07,279.95000
2016-04-08,281.36000
2016-04-11,283.39000
2016-04-12,283.84000
2016-04-13,283.03000
2016-04-14,281.11000
2016-04-15,282.85000
2016-04-18,284.25000
2016-04-19,286.60000
2016-04-20,285.51000
2016-04-21,284.89000
2016-04-22,287.10000
2016-04-25,288.43000
2016-04-26,288.94000
2016-04-27,288.22000
2016-04-28,290.32000
2016-04-29,291.03000
2016-05-02,291.83000
2016-05-03,289.32000
2016-05-04,288.64000
2016-05-05,288.25000
2016-05-06,287.32000
2016-05-09,286.42000
2016-05-10,287.69000
2016-05-11,287.53000
2016-05-12,287.70000
2016-05-13,286.10000
2016-05-16,286.97000
2016-05-17,287.91000
2016-05-18,290.56000
2016-05-19,290.59000
2016-05-20,287.49000
2016-05-23,288.15000
2016-05-24,291.17000
2016-05-25,291.27000
2016-05-26,290.68000
2016-05-27,290.92000
2016-05-30,291.09000
2016-05-31,287.20000
2016-06-01,286.75000
2016-06-02,286.84000
2016-06-03,287.68000
2016-06-06,287.85000
2016-06-07,288.10000
2016-06-08,288.99000
2016-06-09,287.72000
2016-06-10,282.49000
2016-06-13,283.08000
2016-06-14,280.72000
2016-06-15,282.19000
2016-06-16,282.96000
2016-06-17,285.98000
2016-06-20,374.46000
2016-06-21,413.10000
2016-06-22,420.05000
2016-06-23,424.21000
2016-06-24,385.91000
2016-06-27,373.06000
2016-06-28,375.47000
2016-06-29,379.42000
2016-06-30,375.44000
2016-07-01,375.11000
2016-07-04,375.65000
2016-07-05,366.25000
2016-07-06,364.33000
2016-07-07,363.73000
2016-07-08,364.08000
2016-07-11,367.74000
2016-07-12,374.89000
2016-07-13,371.25000
2016-07-14,377.02000
2016-07-15,375.61000
2016-07-18,391.66000
2016-07-19,384.33000
2016-07-20,389.75000
2016-07-21,388.45000
2016-07-22,400.12000
2016-07-25,405.53000
2016-07-26,410.08000
2016-07-27,415.82000
2016-07-28,414.81000
2016-07-29,422.62000
2016-08-01,421.58000
2016-08-02,423.68000
2016-08-03,426.56000
2016-08-04,414.08000
2016-08-05,417.23000
2016-08-08,412.83000
2016-08-09,415.74000
2016-08-10,418.72000
2016-08-11,414.79000
2016-08-12,400.70000
2016-08-15,400.19000
2016-08-16,411.09000
2016-08-17,418.89000
2016-08-18,460.86000
2016-08-19,444.75000
2016-08-22,432.41000
2016-08-23,435.71000
2016-08-24,436.91000
2016-08-25,415.65000
2016-08-26,413.70000
2016-08-29,413.02000
2016-08-30,397.80000
2016-08-31,400.40000
2016-09-01,405.10000
2016-09-02,404.68000
2016-09-05,421.83000
2016-09-06,409.00000
2016-09-07,406.37000
2016-09-08,404.44000
2016-09-09,403.77000
2016-09-12,406.27000
2016-09-13,401.90000
2016-09-14,403.10000
2016-09-15,403.30000
2016-09-16,395.45000
2016-09-19,396.88000
2016-09-20,397.28000
2016-09-21,396.85000
2016-09-22,398.11000
2016-09-23,395.31000
