,Close
2014-10-23,1.60295
2014-10-26,1.60929
2014-10-27,1.61249
2014-10-28,1.61428
2014-10-29,1.60056
2014-10-30,1.60010
2014-11-02,1.59737
2014-11-03,1.59788
2014-11-04,1.60064
2014-11-05,1.59648
2014-11-06,1.58413
2014-11-09,1.58851
2014-11-10,1.58534
2014-11-11,1.59261
2014-11-12,1.57689
2014-11-13,1.57023
2014-11-16,1.56664
2014-11-17,1.56409
2014-11-18,1.56287
2014-11-19,1.56735
2014-11-20,1.56949
2014-11-23,1.56487
2014-11-24,1.56971
2014-11-25,1.57211
2014-11-26,1.57891
2014-11-27,1.57248
2014-11-30,1.56121
2014-12-01,1.57344
2014-12-02,1.56465
2014-12-03,1.56942
2014-12-04,1.56787
2014-12-07,1.55657
2014-12-08,1.56517
2014-12-09,1.56880
2014-12-10,1.57470
2014-12-11,1.57225
2014-12-14,1.57280
2014-12-15,1.56453
2014-12-16,1.57453
2014-12-17,1.55734
2014-12-18,1.56700
2014-12-21,1.56296
2014-12-22,1.55778
2014-12-23,1.55222
2014-12-24,1.55620
2014-12-25,1.55620
2014-12-28,1.55536
2014-12-29,1.55159
2014-12-30,1.55690
2014-12-31,1.55809
2015-01-01,1.55797
2015-01-04,1.52849
2015-01-05,1.52583
2015-01-06,1.51380
2015-01-07,1.51076
2015-01-08,1.50880
2015-01-11,1.51895
2015-01-12,1.51704
2015-01-13,1.51704
2015-01-14,1.52344
2015-01-15,1.51812
2015-01-18,1.51421
2015-01-19,1.50900
2015-01-20,1.51474
2015-01-21,1.51449
2015-01-22,1.50132
2015-01-25,1.49959
2015-01-26,1.50855
2015-01-27,1.51881
2015-01-28,1.51423
2015-01-29,1.50791
2015-02-01,1.50870
2015-02-02,1.50281
2015-02-03,1.51421
2015-02-04,1.51800
2015-02-05,1.53259
2015-02-08,1.52390
2015-02-09,1.52161
2015-02-10,1.52621
2015-02-11,1.52427
2015-02-12,1.53920
2015-02-15,1.54005
2015-02-16,1.53563
2015-02-17,1.53534
2015-02-18,1.54390
2015-02-19,1.54200
2015-02-22,1.53891
2015-02-23,1.54524
2015-02-24,1.54591
2015-02-25,1.55289
2015-02-26,1.54181
2015-03-01,1.54062
2015-03-02,1.53591
2015-03-03,1.53666
2015-03-04,1.52651
2015-03-05,1.52476
2015-03-08,1.50578
2015-03-09,1.51048
2015-03-10,1.50821
2015-03-11,1.49330
2015-03-12,1.48940
2015-03-15,1.47558
2015-03-16,1.48258
2015-03-17,1.47521
2015-03-18,1.49620
2015-03-19,1.47617
2015-03-22,1.49432
2015-03-23,1.49519
2015-03-24,1.48339
2015-03-25,1.48774
2015-03-26,1.48584
2015-03-29,1.48858
2015-03-30,1.48091
2015-03-31,1.48295
2015-04-01,1.48368
2015-04-02,1.48306
2015-04-05,1.49307
2015-04-06,1.48907
2015-04-07,1.48238
2015-04-08,1.48785
2015-04-09,1.47150
2015-04-12,1.46406
2015-04-13,1.46679
2015-04-14,1.47719
2015-04-15,1.48284
2015-04-16,1.49218
2015-04-19,1.49683
2015-04-20,1.49098
2015-04-21,1.49356
2015-04-22,1.50376
2015-04-23,1.50521
2015-04-26,1.51766
2015-04-27,1.52237
2015-04-28,1.53348
2015-04-29,1.54269
2015-04-30,1.53546
2015-05-03,1.51467
2015-05-04,1.51229
2015-05-05,1.51743
2015-05-06,1.52420
2015-05-07,1.54071
2015-05-10,1.54340
2015-05-11,1.55770
2015-05-12,1.56710
2015-05-13,1.57401
2015-05-14,1.57721
2015-05-17,1.57461
2015-05-18,1.56637
2015-05-19,1.55161
2015-05-20,1.55429
2015-05-21,1.56639
2015-05-24,1.54751
2015-05-25,1.54722
2015-05-26,1.53986
2015-05-27,1.53501
2015-05-28,1.53191
2015-05-31,1.52889
2015-06-01,1.51999
2015-06-02,1.53398
2015-06-03,1.53266
2015-06-04,1.53650
2015-06-07,1.52679
2015-06-08,1.53459
2015-06-09,1.53941
2015-06-10,1.54969
2015-06-11,1.55089
2015-06-14,1.55615
2015-06-15,1.55960
2015-06-16,1.56397
2015-06-17,1.58481
2015-06-18,1.58788
2015-06-21,1.58851
2015-06-22,1.58293
2015-06-23,1.57411
2015-06-24,1.57099
2015-06-25,1.57451
2015-06-28,1.56932
2015-06-29,1.57319
2015-06-30,1.56870
2015-07-01,1.56050
2015-07-02,1.56130
2015-07-05,1.55560
2015-07-06,1.56021
2015-07-07,1.54629
2015-07-08,1.53700
2015-07-09,1.53740
2015-07-12,1.55159
2015-07-13,1.54823
2015-07-14,1.56370
2015-07-15,1.56340
2015-07-16,1.56130
2015-07-19,1.56004
2015-07-20,1.55739
2015-07-21,1.55560
2015-07-22,1.56140
2015-07-23,1.55195
2015-07-26,1.55229
2015-07-27,1.55642
2015-07-28,1.56111
2015-07-29,1.56021
2015-07-30,1.56043
2015-08-02,1.56269
2015-08-03,1.55904
2015-08-04,1.55690
2015-08-05,1.56060
2015-08-06,1.55142
2015-08-09,1.54940
2015-08-10,1.55853
2015-08-11,1.55841
2015-08-12,1.56160
2015-08-13,1.56179
2015-08-16,1.56519
2015-08-17,1.55851
2015-08-18,1.56649
2015-08-19,1.56831
2015-08-20,1.56909
2015-08-23,1.56779
2015-08-24,1.57629
2015-08-25,1.56959
2015-08-26,1.54820
2015-08-27,1.54140
2015-08-30,1.54181
2015-08-31,1.53631
2015-09-01,1.53053
2015-09-02,1.53081
2015-09-03,1.52621
2015-09-06,1.52010
2015-09-07,1.52830
2015-09-08,1.54019
2015-09-09,1.53579
2015-09-10,1.54421
2015-09-13,1.54481
2015-09-14,1.54271
2015-09-15,1.53449
2015-09-16,1.55181
2015-09-17,1.55690
2015-09-20,1.55289
2015-09-21,1.55082
2015-09-22,1.53539
2015-09-23,1.52520
2015-09-24,1.52270
2015-09-27,1.52017
2015-09-28,1.51651
2015-09-29,1.51580
2015-09-30,1.51240
2015-10-01,1.51391
2015-10-04,1.51941
2015-10-05,1.51550
2015-10-06,1.52260
2015-10-07,1.53156
2015-10-08,1.53513
2015-10-11,1.53231
2015-10-12,1.53379
2015-10-13,1.52581
2015-10-14,1.54801
2015-10-15,1.54720
2015-10-18,1.54381
2015-10-19,1.54720
2015-10-20,1.54490
2015-10-21,1.54245
2015-10-22,1.53837
2015-10-25,1.53174
2015-10-26,1.53579
2015-10-27,1.53130
2015-10-28,1.52718
2015-10-29,1.53238
2015-11-01,1.54416
2015-11-02,1.54240
2015-11-03,1.54192
2015-11-04,1.53901
2015-11-05,1.52100
2015-11-08,1.50550
2015-11-09,1.51210
2015-11-10,1.51389
2015-11-11,1.52251
2015-11-12,1.52346
2015-11-15,1.52179
2015-11-16,1.52050
2015-11-17,1.52200
2015-11-18,1.52393
2015-11-19,1.52882
2015-11-22,1.51900
2015-11-23,1.51290
2015-11-24,1.50859
2015-11-25,1.51236
2015-11-26,1.50998
2015-11-29,1.50389
2015-11-30,1.50580
2015-12-01,1.50779
2015-12-02,1.49490
2015-12-03,1.51350
2015-12-06,1.51126
2015-12-07,1.50503
2015-12-08,1.50101
2015-12-09,1.51839
2015-12-10,1.51609
2015-12-13,1.51990
2015-12-14,1.51607
2015-12-15,1.50437
2015-12-16,1.49779
2015-12-17,1.49296
2015-12-20,1.49082
2015-12-21,1.48969
2015-12-22,1.48234
2015-12-23,1.48770
2015-12-24,1.49142
2015-12-27,1.49321
2015-12-28,1.48940
2015-12-29,1.48223
2015-12-30,1.48192
2015-12-31,1.47384
2016-01-03,1.47371
2016-01-04,1.47141
2016-01-05,1.46739
2016-01-06,1.46299
2016-01-07,1.46269
2016-01-10,1.45250
2016-01-11,1.45440
2016-01-12,1.44363
2016-01-13,1.44080
2016-01-14,1.44271
2016-01-17,1.42741
2016-01-18,1.42531
2016-01-19,1.41824
2016-01-20,1.41985
2016-01-21,1.42268
2016-01-24,1.42600
2016-01-25,1.42430
2016-01-26,1.43431
2016-01-27,1.42491
2016-01-28,1.43620
2016-01-31,1.42460
2016-02-01,1.44279
2016-02-02,1.44092
2016-02-03,1.45858
2016-02-04,1.45811
2016-02-07,1.45121
2016-02-08,1.44361
2016-02-09,1.44659
2016-02-10,1.45264
2016-02-11,1.44823
2016-02-14,1.45180
2016-02-15,1.44592
2016-02-16,1.43039
2016-02-17,1.42816
2016-02-18,1.43332
2016-02-21,1.42660
2016-02-22,1.41481
2016-02-23,1.40135
2016-02-24,1.39295
2016-02-25,1.39665
2016-02-28,1.38619
2016-02-29,1.39280
2016-03-01,1.39639
2016-03-02,1.40809
2016-03-03,1.41749
2016-03-06,1.42150
2016-03-07,1.42613
2016-03-08,1.42086
2016-03-09,1.42070
2016-03-10,1.42878
2016-03-13,1.43800
2016-03-14,1.42820
2016-03-15,1.41563
2016-03-16,1.42552
2016-03-17,1.44781
2016-03-20,1.44680
2016-03-21,1.43701
2016-03-22,1.42250
2016-03-23,1.41169
2016-03-24,1.41301
2016-03-27,1.41311
2016-03-28,1.42633
2016-03-29,1.43864
2016-03-30,1.43740
2016-03-31,1.43670
2016-04-03,1.42246
2016-04-04,1.42649
2016-04-05,1.41563
2016-04-06,1.41381
2016-04-07,1.40580
2016-04-10,1.41301
2016-04-11,1.42341
2016-04-12,1.42690
2016-04-13,1.41921
2016-04-14,1.41461
2016-04-17,1.41743
2016-04-18,1.42898
2016-04-19,1.43895
2016-04-20,1.43390
2016-04-21,1.43230
2016-04-24,1.44467
2016-04-25,1.44907
2016-04-26,1.45773
2016-04-27,1.45421
2016-04-28,1.46113
2016-05-01,1.46028
2016-05-02,1.46660
2016-05-03,1.45510
2016-05-04,1.45070
2016-05-05,1.44928
2016-05-08,1.44308
2016-05-09,1.44155
2016-05-10,1.44515
2016-05-11,1.44383
2016-05-12,1.44452
2016-05-15,1.43493
2016-05-16,1.44469
2016-05-17,1.44552
2016-05-18,1.45962
2016-05-19,1.46011
2016-05-22,1.44907
2016-05-23,1.44818
2016-05-24,1.46126
2016-05-25,1.46983
2016-05-26,1.46649
2016-05-29,1.46265
2016-05-30,1.46351
2016-05-31,1.44825
2016-06-01,1.44194
2016-06-02,1.44055
2016-06-05,1.43839
2016-06-06,1.44592
2016-06-07,1.45436
2016-06-08,1.45184
2016-06-09,1.44638
2016-06-12,1.41888
2016-06-13,1.42068
2016-06-14,1.41237
2016-06-15,1.41959
2016-06-16,1.42957
2016-06-19,1.45860
2016-06-20,1.46750
2016-06-21,1.46703
2016-06-22,1.47894
2016-06-23,1.45579
2016-06-26,1.34510
2016-06-27,1.32350
2016-06-28,1.33510
2016-06-29,1.34658
2016-06-30,1.33287
2016-07-03,1.32899
2016-07-04,1.32799
2016-07-05,1.29579
2016-07-06,1.29259
2016-07-07,1.29157
2016-07-10,1.29462
2016-07-11,1.29811
2016-07-12,1.32783
2016-07-13,1.31197
2016-07-14,1.33579
2016-07-17,1.32296
2016-07-18,1.32689
2016-07-19,1.31084
2016-07-20,1.32645
2016-07-21,1.32461
2016-07-24,1.31297
2016-07-25,1.31079
2016-07-26,1.31529
2016-07-27,1.32378
2016-07-28,1.31619
2016-07-31,1.32163
2016-08-01,1.31855
2016-08-02,1.33378
2016-08-03,1.33280
2016-08-04,1.31292
2016-08-07,1.30858
2016-08-08,1.30324
2016-08-09,1.30071
2016-08-10,1.30202
2016-08-11,1.29549
2016-08-14,1.29099
2016-08-15,1.28831
2016-08-16,1.30337
2016-08-17,1.30446
2016-08-18,1.31666
2016-08-21,1.30560
2016-08-22,1.31371
2016-08-23,1.31961
2016-08-24,1.32345
