,Close
2014-09-18,0.77399
2014-09-21,0.77873
2014-09-22,0.77812
2014-09-23,0.77797
2014-09-24,0.78259
2014-09-25,0.78388
2014-09-28,0.78907
2014-09-29,0.78797
2014-09-30,0.79187
2014-10-01,0.79213
2014-10-02,0.78923
2014-10-05,0.79913
2014-10-06,0.79076
2014-10-07,0.78939
2014-10-08,0.78474
2014-10-09,0.78808
2014-10-12,0.79115
2014-10-13,0.78592
2014-10-14,0.79120
2014-10-15,0.77993
2014-10-16,0.78098
2014-10-19,0.78434
2014-10-20,0.78154
2014-10-21,0.78649
2014-10-22,0.79105
2014-10-23,0.79026
2014-10-26,0.78885
2014-10-27,0.78731
2014-10-28,0.78503
2014-10-29,0.79159
2014-10-30,0.79281
2014-11-02,0.79980
2014-11-03,0.80026
2014-11-04,0.79665
2014-11-05,0.80128
2014-11-06,0.80775
2014-11-09,0.80248
2014-11-10,0.80451
2014-11-11,0.80155
2014-11-12,0.80451
2014-11-13,0.80154
2014-11-16,0.79882
2014-11-17,0.80328
2014-11-18,0.79787
2014-11-19,0.79740
2014-11-20,0.79713
2014-11-23,0.80808
2014-11-24,0.80430
2014-11-25,0.80124
2014-11-26,0.79962
2014-11-27,0.80244
2014-11-30,0.80397
2014-12-01,0.80192
2014-12-02,0.80720
2014-12-03,0.81191
2014-12-04,0.80732
2014-12-07,0.81340
2014-12-08,0.81201
2014-12-09,0.80678
2014-12-10,0.80167
2014-12-11,0.80678
2014-12-14,0.80234
2014-12-15,0.80363
2014-12-16,0.79923
2014-12-17,0.81044
2014-12-18,0.81364
2014-12-21,0.81793
2014-12-22,0.81808
2014-12-23,0.82136
2014-12-24,0.81977
2014-12-25,0.81900
2014-12-28,0.82173
2014-12-29,0.82281
2014-12-30,0.82223
2014-12-31,0.82654
2015-01-01,0.82717
2015-01-04,0.83707
2015-01-05,0.83759
2015-01-06,0.84208
2015-01-07,0.84488
2015-01-08,0.84774
2015-01-11,0.84241
2015-01-12,0.84520
2015-01-13,0.84902
2015-01-14,0.84847
2015-01-15,0.85930
2015-01-18,0.86460
2015-01-19,0.86222
2015-01-20,0.86603
2015-01-21,0.86093
2015-01-22,0.88131
2015-01-25,0.89884
2015-01-26,0.88907
2015-01-27,0.87971
2015-01-28,0.88641
2015-01-29,0.88218
2015-02-01,0.88425
2015-02-02,0.88170
2015-02-03,0.87280
2015-02-04,0.88349
2015-02-05,0.87169
2015-02-08,0.88383
2015-02-09,0.88285
2015-02-10,0.88324
2015-02-11,0.88402
2015-02-12,0.87689
2015-02-15,0.87719
2015-02-16,0.88230
2015-02-17,0.87683
2015-02-18,0.87719
2015-02-19,0.87976
2015-02-22,0.87862
2015-02-23,0.88238
2015-02-24,0.88191
2015-02-25,0.88000
2015-02-26,0.89243
2015-03-01,0.89590
2015-03-02,0.89453
2015-03-03,0.89428
2015-03-04,0.90236
2015-03-05,0.90645
2015-03-08,0.92200
2015-03-09,0.92307
2015-03-10,0.93382
2015-03-11,0.94798
2015-03-12,0.94106
2015-03-15,0.95405
2015-03-16,0.94581
2015-03-17,0.94357
2015-03-18,0.92166
2015-03-19,0.93730
2015-03-22,0.92365
2015-03-23,0.91366
2015-03-24,0.91726
2015-03-25,0.91237
2015-03-26,0.91858
2015-03-29,0.91870
2015-03-30,0.92334
2015-03-31,0.93126
2015-04-01,0.92851
2015-04-02,0.91990
2015-04-05,0.90898
2015-04-06,0.91451
2015-04-07,0.92386
2015-04-08,0.92719
2015-04-09,0.93729
2015-04-12,0.94252
2015-04-13,0.94581
2015-04-14,0.93922
2015-04-15,0.93661
2015-04-16,0.92975
2015-04-19,0.92505
2015-04-20,0.93045
2015-04-21,0.93095
2015-04-22,0.93233
2015-04-23,0.92464
2015-04-26,0.92005
2015-04-27,0.91929
2015-04-28,0.91165
2015-04-29,0.89974
2015-04-30,0.89169
2015-05-03,0.89398
2015-05-04,0.89693
2015-05-05,0.89395
2015-05-06,0.88172
2015-05-07,0.88913
2015-05-10,0.89333
2015-05-11,0.89731
2015-05-12,0.89115
2015-05-13,0.88102
2015-05-14,0.87681
2015-05-17,0.87374
2015-05-18,0.88291
2015-05-19,0.89713
2015-05-20,0.90084
2015-05-21,0.89994
2015-05-24,0.90967
2015-05-25,0.91148
2015-05-26,0.91837
2015-05-27,0.91743
2015-05-28,0.91238
2015-05-31,0.91258
2015-06-01,0.91550
2015-06-02,0.89686
2015-06-03,0.88827
2015-06-04,0.89223
2015-06-07,0.90024
2015-06-08,0.88645
2015-06-09,0.88503
2015-06-10,0.88402
2015-06-11,0.88963
2015-06-14,0.89127
2015-06-15,0.88676
2015-06-16,0.88952
2015-06-17,0.87951
2015-06-18,0.87945
2015-06-21,0.87928
2015-06-22,0.88113
2015-06-23,0.89508
2015-06-24,0.89230
2015-06-25,0.89262
2015-06-28,0.91116
2015-06-29,0.89103
2015-06-30,0.89807
2015-07-01,0.90632
2015-07-02,0.90196
2015-07-05,0.90950
2015-07-06,0.90506
2015-07-07,0.90827
2015-07-08,0.90326
2015-07-09,0.90391
2015-07-12,0.89855
2015-07-13,0.90988
2015-07-14,0.90843
2015-07-15,0.91378
2015-07-16,0.91861
2015-07-19,0.92334
2015-07-20,0.92290
2015-07-21,0.91408
2015-07-22,0.91516
2015-07-23,0.91000
2015-07-26,0.91138
2015-07-27,0.90171
2015-07-28,0.90367
2015-07-29,0.91041
2015-07-30,0.91414
2015-08-02,0.91166
2015-08-03,0.91274
2015-08-04,0.91836
2015-08-05,0.91717
2015-08-06,0.91516
2015-08-09,0.91199
2015-08-10,0.90769
2015-08-11,0.90563
2015-08-12,0.89598
2015-08-13,0.89598
2015-08-16,0.90147
2015-08-17,0.90269
2015-08-18,0.90655
2015-08-19,0.89944
2015-08-20,0.88992
2015-08-23,0.87897
2015-08-24,0.86333
2015-08-25,0.86573
2015-08-26,0.88183
2015-08-27,0.88905
2015-08-30,0.89174
2015-08-31,0.89080
2015-09-01,0.88547
2015-09-02,0.89158
2015-09-03,0.89880
2015-09-06,0.89670
2015-09-07,0.89574
2015-09-08,0.89227
2015-09-09,0.89121
2015-09-10,0.88567
2015-09-13,0.88152
2015-09-14,0.88436
2015-09-15,0.88717
2015-09-16,0.88558
2015-09-17,0.87712
2015-09-20,0.88558
2015-09-21,0.89358
2015-09-22,0.89922
2015-09-23,0.89366
2015-09-24,0.89454
2015-09-27,0.89272
2015-09-28,0.89039
2015-09-29,0.88842
2015-09-30,0.89509
2015-10-01,0.89338
2015-10-04,0.89071
2015-10-05,0.89324
2015-10-06,0.88747
2015-10-07,0.88968
2015-10-08,0.88598
2015-10-11,0.87951
2015-10-12,0.88063
2015-10-13,0.87835
2015-10-14,0.87142
2015-10-15,0.87965
2015-10-18,0.88020
2015-10-19,0.88269
2015-10-20,0.88075
2015-10-21,0.88121
2015-10-22,0.90245
2015-10-25,0.90741
2015-10-26,0.90367
2015-10-27,0.90604
2015-10-28,0.91500
2015-10-29,0.90960
2015-11-01,0.90695
2015-11-02,0.90777
2015-11-03,0.91208
2015-11-04,0.92013
2015-11-05,0.91878
2015-11-08,0.93167
2015-11-09,0.92941
2015-11-10,0.93131
2015-11-11,0.92911
2015-11-12,0.92464
2015-11-15,0.93458
2015-11-16,0.93563
2015-11-17,0.93951
2015-11-18,0.93721
2015-11-19,0.93230
2015-11-22,0.93976
2015-11-23,0.93967
2015-11-24,0.93951
2015-11-25,0.94118
2015-11-26,0.94300
2015-11-29,0.94491
2015-11-30,0.94581
2015-12-01,0.94110
2015-12-02,0.94224
2015-12-03,0.91609
2015-12-06,0.91878
2015-12-07,0.92302
2015-12-08,0.91794
2015-12-09,0.90761
2015-12-10,0.91340
2015-12-13,0.91042
2015-12-14,0.90967
2015-12-15,0.91439
2015-12-16,0.91958
2015-12-17,0.92216
2015-12-20,0.91997
2015-12-21,0.91634
2015-12-22,0.91324
2015-12-23,0.91666
2015-12-24,0.91158
2015-12-27,0.91191
2015-12-28,0.91114
2015-12-29,0.91508
2015-12-30,0.91458
2015-12-31,0.92089
2016-01-03,0.92132
2016-01-04,0.92357
2016-01-05,0.93006
2016-01-06,0.92773
2016-01-07,0.91525
2016-01-10,0.91399
2016-01-11,0.92098
2016-01-12,0.92217
2016-01-13,0.91861
2016-01-14,0.92090
2016-01-17,0.91575
2016-01-18,0.91785
2016-01-19,0.91634
2016-01-20,0.91937
2016-01-21,0.92064
2016-01-24,0.92601
2016-01-25,0.92140
2016-01-26,0.92039
2016-01-27,0.91676
2016-01-28,0.91433
2016-01-31,0.92371
2016-02-01,0.91766
2016-02-02,0.91558
2016-02-03,0.90163
2016-02-04,0.89286
2016-02-07,0.89726
2016-02-08,0.89367
2016-02-09,0.88574
