,Close
2014-09-18,0.60838
2014-09-21,0.61275
2014-09-22,0.61080
2014-09-23,0.60999
2014-09-24,0.61259
2014-09-25,0.61232
2014-09-28,0.61583
2014-09-29,0.61568
2014-09-30,0.61676
2014-10-01,0.61758
2014-10-02,0.61881
2014-10-05,0.62641
2014-10-06,0.62208
2014-10-07,0.62154
2014-10-08,0.61870
2014-10-09,0.62024
2014-10-12,0.62139
2014-10-13,0.62240
2014-10-14,0.62927
2014-10-15,0.62531
2014-10-16,0.62127
2014-10-19,0.62142
2014-10-20,0.61885
2014-10-21,0.62054
2014-10-22,0.62325
2014-10-23,0.62385
2014-10-26,0.62139
2014-10-27,0.62016
2014-10-28,0.61947
2014-10-29,0.62478
2014-10-30,0.62496
2014-11-02,0.62603
2014-11-03,0.62583
2014-11-04,0.62475
2014-11-05,0.62638
2014-11-06,0.63126
2014-11-09,0.62952
2014-11-10,0.63078
2014-11-11,0.62790
2014-11-12,0.63416
2014-11-13,0.63685
2014-11-16,0.63831
2014-11-17,0.63935
2014-11-18,0.63985
2014-11-19,0.63802
2014-11-20,0.63715
2014-11-23,0.63903
2014-11-24,0.63706
2014-11-25,0.63609
2014-11-26,0.63335
2014-11-27,0.63594
2014-11-30,0.64053
2014-12-01,0.63555
2014-12-02,0.63912
2014-12-03,0.63718
2014-12-04,0.63781
2014-12-07,0.64244
2014-12-08,0.63891
2014-12-09,0.63743
2014-12-10,0.63504
2014-12-11,0.63603
2014-12-14,0.63581
2014-12-15,0.63917
2014-12-16,0.63511
2014-12-17,0.64212
2014-12-18,0.63816
2014-12-21,0.63981
2014-12-22,0.64194
2014-12-23,0.64424
2014-12-24,0.64259
2014-12-25,0.64259
2014-12-28,0.64294
2014-12-29,0.64450
2014-12-30,0.64230
2014-12-31,0.64181
2015-01-01,0.64186
2015-01-04,0.65424
2015-01-05,0.65538
2015-01-06,0.66059
2015-01-07,0.66192
2015-01-08,0.66278
2015-01-11,0.65835
2015-01-12,0.65918
2015-01-13,0.65918
2015-01-14,0.65641
2015-01-15,0.65871
2015-01-18,0.66041
2015-01-19,0.66269
2015-01-20,0.66018
2015-01-21,0.66029
2015-01-22,0.66608
2015-01-25,0.66685
2015-01-26,0.66289
2015-01-27,0.65841
2015-01-28,0.66040
2015-01-29,0.66317
2015-02-01,0.66282
2015-02-02,0.66542
2015-02-03,0.66041
2015-02-04,0.65876
2015-02-05,0.65249
2015-02-08,0.65621
2015-02-09,0.65720
2015-02-10,0.65522
2015-02-11,0.65605
2015-02-12,0.64969
2015-02-15,0.64933
2015-02-16,0.65120
2015-02-17,0.65132
2015-02-18,0.64771
2015-02-19,0.64851
2015-02-22,0.64981
2015-02-23,0.64715
2015-02-24,0.64687
2015-02-25,0.64396
2015-02-26,0.64859
2015-03-01,0.64909
2015-03-02,0.65108
2015-03-03,0.65076
2015-03-04,0.65509
2015-03-05,0.65584
2015-03-08,0.66411
2015-03-09,0.66204
2015-03-10,0.66304
2015-03-11,0.66966
2015-03-12,0.67141
2015-03-15,0.67770
2015-03-16,0.67450
2015-03-17,0.67787
2015-03-18,0.66836
2015-03-19,0.67743
2015-03-22,0.66920
2015-03-23,0.66881
2015-03-24,0.67413
2015-03-25,0.67216
2015-03-26,0.67302
2015-03-29,0.67178
2015-03-30,0.67526
2015-03-31,0.67433
2015-04-01,0.67400
2015-04-02,0.67428
2015-04-05,0.66976
2015-04-06,0.67156
2015-04-07,0.67459
2015-04-08,0.67211
2015-04-09,0.67958
2015-04-12,0.68303
2015-04-13,0.68176
2015-04-14,0.67696
2015-04-15,0.67438
2015-04-16,0.67016
2015-04-19,0.66808
2015-04-20,0.67070
2015-04-21,0.66954
2015-04-22,0.66500
2015-04-23,0.66436
2015-04-26,0.65891
2015-04-27,0.65687
2015-04-28,0.65211
2015-04-29,0.64822
2015-04-30,0.65127
2015-05-03,0.66021
2015-05-04,0.66125
2015-05-05,0.65901
2015-05-06,0.65608
2015-05-07,0.64905
2015-05-10,0.64792
2015-05-11,0.64197
2015-05-12,0.63812
2015-05-13,0.63532
2015-05-14,0.63403
2015-05-17,0.63508
2015-05-18,0.63842
2015-05-19,0.64449
2015-05-20,0.64338
2015-05-21,0.63841
2015-05-24,0.64620
2015-05-25,0.64632
2015-05-26,0.64941
2015-05-27,0.65146
2015-05-28,0.65278
2015-05-31,0.65407
2015-06-01,0.65790
2015-06-02,0.65190
2015-06-03,0.65246
2015-06-04,0.65083
2015-06-07,0.65497
2015-06-08,0.65164
2015-06-09,0.64960
2015-06-10,0.64529
2015-06-11,0.64479
2015-06-14,0.64261
2015-06-15,0.64119
2015-06-16,0.63940
2015-06-17,0.63099
2015-06-18,0.62977
2015-06-21,0.62952
2015-06-22,0.63174
2015-06-23,0.63528
2015-06-24,0.63654
2015-06-25,0.63512
2015-06-28,0.63722
2015-06-29,0.63565
2015-06-30,0.63747
2015-07-01,0.64082
2015-07-02,0.64049
2015-07-05,0.64284
2015-07-06,0.64094
2015-07-07,0.64671
2015-07-08,0.65062
2015-07-09,0.65045
2015-07-12,0.64450
2015-07-13,0.64590
2015-07-14,0.63951
2015-07-15,0.63963
2015-07-16,0.64049
2015-07-19,0.64101
2015-07-20,0.64210
2015-07-21,0.64284
2015-07-22,0.64045
2015-07-23,0.64435
2015-07-26,0.64421
2015-07-27,0.64250
2015-07-28,0.64057
2015-07-29,0.64094
2015-07-30,0.64085
2015-08-02,0.63992
2015-08-03,0.64142
2015-08-04,0.64230
2015-08-05,0.64078
2015-08-06,0.64457
2015-08-09,0.64541
2015-08-10,0.64163
2015-08-11,0.64168
2015-08-12,0.64037
2015-08-13,0.64029
2015-08-16,0.63890
2015-08-17,0.64164
2015-08-18,0.63837
2015-08-19,0.63763
2015-08-20,0.63731
2015-08-23,0.63784
2015-08-24,0.63440
2015-08-25,0.63711
2015-08-26,0.64591
2015-08-27,0.64876
2015-08-30,0.64859
2015-08-31,0.65091
2015-09-01,0.65337
2015-09-02,0.65325
2015-09-03,0.65522
2015-09-06,0.65785
2015-09-07,0.65432
2015-09-08,0.64927
2015-09-09,0.65113
2015-09-10,0.64758
2015-09-13,0.64733
2015-09-14,0.64821
2015-09-15,0.65168
2015-09-16,0.64441
2015-09-17,0.64230
2015-09-20,0.64396
2015-09-21,0.64482
2015-09-22,0.65130
2015-09-23,0.65565
2015-09-24,0.65673
2015-09-27,0.65782
2015-09-28,0.65941
2015-09-29,0.65972
2015-09-30,0.66120
2015-10-01,0.66054
2015-10-04,0.65815
2015-10-05,0.65985
2015-10-06,0.65677
2015-10-07,0.65293
2015-10-08,0.65141
2015-10-11,0.65261
2015-10-12,0.65198
2015-10-13,0.65539
2015-10-14,0.64599
2015-10-15,0.64633
2015-10-18,0.64775
2015-10-19,0.64633
2015-10-20,0.64729
2015-10-21,0.64832
2015-10-22,0.65004
2015-10-25,0.65285
2015-10-26,0.65113
2015-10-27,0.65304
2015-10-28,0.65480
2015-10-29,0.65258
2015-11-01,0.64760
2015-11-02,0.64834
2015-11-03,0.64854
2015-11-04,0.64977
2015-11-05,0.65746
2015-11-08,0.66423
2015-11-09,0.66133
2015-11-10,0.66055
2015-11-11,0.65681
2015-11-12,0.65640
2015-11-15,0.65712
2015-11-16,0.65768
2015-11-17,0.65703
2015-11-18,0.65620
2015-11-19,0.65410
2015-11-22,0.65833
2015-11-23,0.66098
2015-11-24,0.66287
2015-11-25,0.66122
2015-11-26,0.66226
2015-11-29,0.66494
2015-11-30,0.66410
2015-12-01,0.66322
2015-12-02,0.66894
2015-12-03,0.66072
2015-12-06,0.66170
2015-12-07,0.66444
2015-12-08,0.66622
2015-12-09,0.65859
2015-12-10,0.65959
2015-12-13,0.65794
2015-12-14,0.65960
2015-12-15,0.66473
2015-12-16,0.66765
2015-12-17,0.66981
2015-12-20,0.67077
2015-12-21,0.67128
2015-12-22,0.67461
2015-12-23,0.67218
2015-12-24,0.67050
2015-12-27,0.66970
2015-12-28,0.67141
2015-12-29,0.67466
2015-12-30,0.67480
2015-12-31,0.67850
2016-01-03,0.67856
2016-01-04,0.67962
2016-01-05,0.68148
2016-01-06,0.68353
2016-01-07,0.68367
2016-01-10,0.68847
2016-01-11,0.68757
2016-01-12,0.69270
2016-01-13,0.69406
2016-01-14,0.69314
2016-01-17,0.70057
2016-01-18,0.70160
2016-01-19,0.70510
2016-01-20,0.70430
2016-01-21,0.70290
2016-01-24,0.70126
2016-01-25,0.70210
2016-01-26,0.69720
2016-01-27,0.70180
2016-01-28,0.69628
2016-01-31,0.70195
2016-02-01,0.69310
2016-02-02,0.69400
2016-02-03,0.68560
2016-02-04,0.68582
2016-02-07,0.68908
2016-02-08,0.69271
2016-02-09,0.69128
2016-02-10,0.68840
2016-02-11,0.69050
2016-02-14,0.68880
2016-02-15,0.69160
2016-02-16,0.69911
2016-02-17,0.70020
2016-02-18,0.69768
2016-02-21,0.70097
2016-02-22,0.70681
2016-02-23,0.71360
2016-02-24,0.71790
2016-02-25,0.71600
2016-02-28,0.72140
2016-02-29,0.71798
2016-03-01,0.71613
2016-03-02,0.71018
2016-03-03,0.70547
2016-03-06,0.70348
2016-03-07,0.70120
2016-03-08,0.70380
2016-03-09,0.70388
2016-03-10,0.69990
2016-03-13,0.69541
2016-03-14,0.70018
2016-03-15,0.70640
2016-03-16,0.70150
2016-03-17,0.69070
2016-03-20,0.69118
2016-03-21,0.69589
2016-03-22,0.70299
2016-03-23,0.70837
2016-03-24,0.70771
2016-03-27,0.70766
2016-03-28,0.70110
2016-03-29,0.69510
2016-03-30,0.69570
2016-03-31,0.69604
2016-04-03,0.70301
2016-04-04,0.70102
2016-04-05,0.70640
2016-04-06,0.70731
2016-04-07,0.71134
2016-04-10,0.70771
2016-04-11,0.70254
2016-04-12,0.70082
2016-04-13,0.70462
2016-04-14,0.70691
2016-04-17,0.70550
2016-04-18,0.69980
2016-04-19,0.69495
2016-04-20,0.69740
2016-04-21,0.69818
2016-04-24,0.69220
2016-04-25,0.69010
2016-04-26,0.68600
2016-04-27,0.68766
2016-04-28,0.68440
2016-05-01,0.68480
2016-05-02,0.68185
2016-05-03,0.68724
2016-05-04,0.68932
2016-05-05,0.69000
2016-05-08,0.69296
2016-05-09,0.69370
2016-05-10,0.69197
2016-05-11,0.69260
2016-05-12,0.69227
2016-05-15,0.69690
2016-05-16,0.69219
2016-05-17,0.69179
2016-05-18,0.68511
2016-05-19,0.68488
2016-05-22,0.69010
2016-05-23,0.69052
2016-05-24,0.68434
2016-05-25,0.68035
2016-05-26,0.68190
2016-05-29,0.68369
2016-05-30,0.68329
2016-05-31,0.69049
2016-06-01,0.69351
2016-06-02,0.69418
2016-06-05,0.69522
2016-06-06,0.69160
2016-06-07,0.68759
2016-06-08,0.68878
2016-06-09,0.69138
2016-06-12,0.70478
2016-06-13,0.70389
2016-06-14,0.70803
2016-06-15,0.70443
2016-06-16,0.69951
2016-06-19,0.68559
2016-06-20,0.68143
2016-06-21,0.68165
2016-06-22,0.67616
2016-06-23,0.68691
2016-06-26,0.74344
2016-06-27,0.75557
2016-06-28,0.74901
2016-06-29,0.74262
2016-06-30,0.75026
2016-07-03,0.75245
2016-07-04,0.75302
2016-07-05,0.77173
2016-07-06,0.77364
2016-07-07,0.77425
2016-07-10,0.77243
2016-07-11,0.77035
2016-07-12,0.75311
2016-07-13,0.76221
2016-07-14,0.74862
2016-07-17,0.75588
2016-07-18,0.75364
2016-07-19,0.76287
2016-07-20,0.75389
2016-07-21,0.75494
2016-07-24,0.76163
2016-07-25,0.76290
2016-07-26,0.76029
2016-07-27,0.75541
2016-07-28,0.75977
2016-07-31,0.75664
2016-08-01,0.75841
2016-08-02,0.74975
2016-08-03,0.75030
2016-08-04,0.76166
2016-08-07,0.76419
2016-08-08,0.76732
2016-08-09,0.76881
2016-08-10,0.76804
2016-08-11,0.77191
2016-08-14,0.77460
2016-08-15,0.77621
2016-08-16,0.76724
2016-08-17,0.76660
2016-08-18,0.75950
2016-08-21,0.76593
2016-08-22,0.76120
2016-08-23,0.75780
2016-08-24,0.75560
2016-08-25,0.75790
2016-08-28,0.76170
2016-08-29,0.76290
2016-08-30,0.76390
2016-08-31,0.76140
2016-09-01,0.75330
2016-09-04,0.75220
2016-09-05,0.75110
2016-09-06,0.74510
2016-09-07,0.74970
2016-09-08,0.75130
2016-09-11,0.75340
2016-09-12,0.74970
2016-09-13,0.75790
2016-09-14,0.75390
2016-09-15,0.75485
2016-09-18,0.76827
2016-09-19,0.76660
2016-09-20,0.77010
2016-09-21,0.76710
2016-09-22,0.76410
2016-09-25,0.77050
2016-09-26,0.77104
2016-09-27,0.76850
2016-09-28,0.76690
2016-09-29,0.77140
2016-10-02,0.77330
2016-10-03,0.77830
2016-10-04,0.78540
2016-10-05,0.78400
2016-10-06,0.80630
2016-10-09,0.80420
2016-10-10,0.81030
2016-10-11,0.81440
2016-10-12,0.82050
2016-10-13,0.81820
2016-10-16,0.82080
2016-10-17,0.81840
2016-10-18,0.81270
2016-10-19,0.81370
2016-10-20,0.81590
2016-10-23,0.81839
2016-10-24,0.81850
2016-10-25,0.82130
2016-10-26,0.81730
2016-10-27,0.82160
2016-10-30,0.81860
2016-10-31,0.81720
2016-11-01,0.81709
2016-11-02,0.81270
2016-11-03,0.80200
2016-11-06,0.80070
2016-11-07,0.80650
2016-11-08,0.80720
2016-11-09,0.80510
2016-11-10,0.79660
2016-11-13,0.79530
2016-11-14,0.79870
2016-11-15,0.80280
2016-11-16,0.80370
2016-11-17,0.80580
2016-11-20,0.81140
2016-11-21,0.80040
2016-11-22,0.80490
2016-11-23,0.80430
2016-11-24,0.80303
2016-11-27,0.80120
2016-11-28,0.80570
2016-11-29,0.80050
2016-11-30,0.79890
2016-12-01,0.79430
2016-12-04,0.78940
2016-12-05,0.78564
2016-12-06,0.78920
2016-12-07,0.79190
2016-12-08,0.79460
2016-12-11,0.79380
2016-12-12,0.78890
2016-12-13,0.78970
2016-12-14,0.79756
2016-12-15,0.80490
2016-12-18,0.80070
2016-12-19,0.80710
2016-12-20,0.80870
2016-12-21,0.80940
2016-12-22,0.81400
2016-12-25,0.81370
2016-12-26,0.81460
2016-12-27,0.81460
2016-12-28,0.81800
2016-12-29,0.81380
2017-01-01,0.80978
2017-01-02,0.81420
2017-01-03,0.81662
2017-01-04,0.81124
2017-01-05,0.80480
2017-01-08,0.81560
2017-01-09,0.82146
2017-01-10,0.82140
2017-01-11,0.81870
2017-01-12,0.82200
2017-01-15,0.83061
2017-01-16,0.83055
2017-01-17,0.80723
2017-01-18,0.81568
2017-01-19,0.81048
2017-01-22,0.80730
2017-01-23,0.79890
2017-01-24,0.79789
2017-01-25,0.79151
2017-01-26,0.79394
2017-01-29,0.79416
2017-01-30,0.80000
2017-01-31,0.79430
2017-02-01,0.78980
2017-02-02,0.79872
2017-02-05,0.80101
2017-02-06,0.80203
2017-02-07,0.80024
2017-02-08,0.79821
2017-02-09,0.80012
2017-02-12,0.80099
2017-02-13,0.79853
2017-02-14,0.80190
2017-02-15,0.80194
2017-02-16,0.80069
2017-02-19,0.80425
2017-02-20,0.80171
2017-02-21,0.80083
2017-02-22,0.80297
2017-02-23,0.79642
2017-02-26,0.80648
2017-02-27,0.80390
2017-02-28,0.80788
2017-03-01,0.81485
2017-03-02,0.81468
2017-03-05,0.81300
2017-03-06,0.81680
2017-03-07,0.81937
2017-03-08,0.82120
2017-03-09,0.82255
2017-03-12,0.82160
2017-03-13,0.81927
2017-03-14,0.82254
2017-03-15,0.81405
2017-03-16,0.80964
2017-03-19,0.80746
2017-03-20,0.80860
2017-03-21,0.80115
2017-03-22,0.80160
2017-03-23,0.79880
2017-03-26,0.79907
2017-03-27,0.79631
2017-03-28,0.80506
2017-03-29,0.80383
2017-03-30,0.80138
2017-04-02,0.79740
2017-04-03,0.80050
2017-04-04,0.80386
2017-04-05,0.80070
2017-04-06,0.80201
2017-04-09,0.80807
2017-04-10,0.80480
2017-04-11,0.80049
2017-04-12,0.79682
2017-04-13,0.79950
2017-04-16,0.79776
2017-04-17,0.79632
2017-04-18,0.77854
2017-04-19,0.78233
2017-04-20,0.78113
2017-04-23,0.77965
2017-04-24,0.78268
2017-04-25,0.77928
2017-04-26,0.77831
2017-04-27,0.77558
2017-04-30,0.77330
2017-05-01,0.77535
2017-05-02,0.77270
2017-05-03,0.77690
2017-05-04,0.77370
2017-05-07,0.77127
2017-05-08,0.77260
2017-05-09,0.77229
2017-05-10,0.77336
2017-05-11,0.77570
2017-05-14,0.77600
2017-05-15,0.77501
2017-05-16,0.77418
2017-05-17,0.77100
2017-05-18,0.77170
2017-05-21,0.76851
2017-05-22,0.76951
2017-05-23,0.77181
2017-05-24,0.77040
2017-05-25,0.77320
