,Close
2014-09-16,61.05300
2014-09-17,60.90800
2014-09-18,60.69000
2014-09-21,60.85300
2014-09-22,61.00000
2014-09-23,60.98000
2014-09-24,60.81000
2014-09-25,61.49000
2014-09-28,61.13800
2014-09-29,61.55300
2014-09-30,61.82000
2014-10-01,61.71300
2014-10-02,61.44000
2014-10-05,61.53800
2014-10-06,61.21000
2014-10-07,61.27000
2014-10-08,60.88000
2014-10-09,61.02000
2014-10-12,61.27800
2014-10-13,61.00300
2014-10-14,61.39300
2014-10-15,61.37300
2014-10-16,61.72300
2014-10-19,61.35800
2014-10-20,61.22800
2014-10-21,61.14300
2014-10-22,61.10000
2014-10-23,61.13000
2014-10-26,61.16300
2014-10-27,61.29800
2014-10-28,61.18100
2014-10-29,61.28300
2014-10-30,61.43300
2014-11-02,61.39800
2014-11-03,61.41300
2014-11-04,61.28800
2014-11-05,61.37000
2014-11-06,61.49300
2014-11-09,61.51300
2014-11-10,61.53000
2014-11-11,61.49000
2014-11-12,61.36800
2014-11-13,61.59300
2014-11-16,61.70800
2014-11-17,61.82300
2014-11-18,61.71800
2014-11-19,61.93800
2014-11-20,61.92300
2014-11-23,61.76000
2014-11-24,61.85300
2014-11-25,61.84000
2014-11-26,61.78800
2014-11-27,61.85300
2014-11-30,62.20300
2014-12-01,61.94800
2014-12-02,61.78800
2014-12-03,61.85600
2014-12-04,61.78300
2014-12-07,61.91100
2014-12-08,61.81800
2014-12-09,61.87300
2014-12-10,62.00300
2014-12-11,62.47300
2014-12-14,62.51800
2014-12-15,63.16800
2014-12-16,63.65300
2014-12-17,63.51800
2014-12-18,62.98300
2014-12-21,63.24000
2014-12-22,63.22300
2014-12-23,63.43300
2014-12-24,63.40000
2014-12-25,63.51300
2014-12-28,63.59000
2014-12-29,63.66300
2014-12-30,63.37800
2014-12-31,63.02800
2015-01-01,63.02800
2015-01-04,63.27800
2015-01-05,63.33800
2015-01-06,63.56800
2015-01-07,63.27300
2015-01-08,62.66800
2015-01-11,62.34800
2015-01-12,62.06800
2015-01-13,61.97300
2015-01-14,62.08800
2015-01-15,62.05800
2015-01-18,61.86300
2015-01-19,61.63800
2015-01-20,61.64800
2015-01-21,61.55300
2015-01-22,61.59800
2015-01-25,61.43300
2015-01-26,61.47300
2015-01-27,61.40300
2015-01-28,61.35100
2015-01-29,61.79600
2015-02-01,62.01300
2015-02-02,61.72800
2015-02-03,61.61400
2015-02-04,61.86000
2015-02-05,61.73300
2015-02-08,61.96300
2015-02-09,62.13000
2015-02-10,62.34200
2015-02-11,62.38200
2015-02-12,62.17000
2015-02-15,62.06900
2015-02-16,62.18600
2015-02-17,62.11200
2015-02-18,62.07400
2015-02-19,62.16500
