,Close
2014-09-16,107.15000
2014-09-17,108.51600
2014-09-18,108.80000
2014-09-21,108.94000
2014-09-22,108.75000
2014-09-23,108.54200
2014-09-24,109.31600
2014-09-25,108.61000
2014-09-28,109.41100
2014-09-29,109.39000
2014-09-30,109.66000
2014-10-01,109.02000
2014-10-02,108.52300
2014-10-05,109.80200
2014-10-06,108.86800
2014-10-07,108.07200
2014-10-08,108.12700
2014-10-09,107.83000
2014-10-12,107.33800
2014-10-13,107.06300
2014-10-14,107.31400
2014-10-15,105.98000
2014-10-16,106.40500
2014-10-19,107.14400
2014-10-20,106.91000
2014-10-21,107.02100
2014-10-22,107.14800
2014-10-23,108.16100
2014-10-26,108.20200
2014-10-27,107.84300
2014-10-28,108.11200
2014-10-29,108.84600
2014-10-30,109.21300
2014-11-02,112.84100
2014-11-03,113.64800
2014-11-04,113.48000
2014-11-05,114.65500
2014-11-06,115.17600
2014-11-09,114.53300
2014-11-10,114.75300
2014-11-11,115.72100
2014-11-12,115.57000
2014-11-13,115.82400
2014-11-16,116.89600
2014-11-17,116.64600
2014-11-18,116.86900
2014-11-19,118.14800
2014-11-20,118.23600
2014-11-23,117.74400
2014-11-24,118.45400
2014-11-25,117.80100
2014-11-26,117.63000
2014-11-27,117.84000
2014-11-30,118.86400
2014-12-01,118.30800
2014-12-02,119.19400
2014-12-03,119.86100
2014-12-04,119.81200
2014-12-07,121.56100
2014-12-08,120.65000
2014-12-09,119.34200
2014-12-10,117.70900
2014-12-11,119.00700
2014-12-14,118.16500
2014-12-15,117.74100
2014-12-16,116.61300
2014-12-17,118.79600
2014-12-18,118.93800
2014-12-21,119.49700
2014-12-22,120.15000
2014-12-23,120.69000
2014-12-24,120.45900
2014-12-25,120.37000
2014-12-28,120.42400
2014-12-29,120.63200
2014-12-30,119.45800
2014-12-31,119.67300
2015-01-01,119.87000
2015-01-04,120.43400
2015-01-05,119.42500
2015-01-06,118.67300
2015-01-07,119.28900
2015-01-08,119.79200
2015-01-11,118.21200
2015-01-12,118.32800
2015-01-13,117.79500
2015-01-14,117.39000
2015-01-15,116.13000
2015-01-18,117.56000
2015-01-19,117.71200
2015-01-20,118.64900
2015-01-21,117.86000
2015-01-22,118.75100
2015-01-25,117.36100
2015-01-26,118.52000
2015-01-27,117.77500
2015-01-28,117.59200
2015-01-29,118.24800
2015-02-01,117.18400
2015-02-02,117.57500
2015-02-03,117.64600
2015-02-04,117.28800
2015-02-05,117.53500
2015-02-08,118.97000
2015-02-09,118.56300
2015-02-10,119.35800
2015-02-11,120.17000
2015-02-12,118.91600
2015-02-15,118.57000
2015-02-16,118.49200
2015-02-17,119.20800
2015-02-18,118.68900
2015-02-19,118.98800
2015-02-22,119.07600
2015-02-23,118.90300
2015-02-24,118.89200
2015-02-25,118.82200
