,Close
2014-09-03,36.77110
2014-09-04,36.86720
2014-09-07,36.89820
2014-09-08,36.92650
2014-09-09,37.02770
2014-09-10,37.27520
2014-09-11,37.39800
2014-09-14,37.75220
2014-09-15,38.33520
2014-09-16,38.29920
2014-09-17,38.36820
2014-09-18,38.34730
2014-09-21,38.35620
2014-09-22,38.62630
2014-09-23,38.54020
2014-09-24,38.14420
2014-09-25,38.47020
2014-09-28,39.05620
2014-09-29,39.32520
2014-09-30,39.56160
2014-10-01,39.70000
2014-10-02,39.49120
2014-10-05,40.09820
2014-10-06,39.70220
2014-10-07,39.72370
2014-10-08,39.94290
2014-10-09,40.02320
2014-10-12,40.34920
2014-10-13,40.40320
2014-10-14,40.89420
2014-10-15,40.49620
2014-10-16,40.71570
2014-10-19,40.61620
2014-10-20,40.94230
2014-10-21,40.85220
2014-10-22,41.32890
2014-10-23,41.64210
2014-10-26,41.87220
2014-10-27,42.22780
2014-10-28,42.41520
2014-10-29,43.00810
2014-10-30,41.01300
2014-11-02,42.94820
2014-11-03,43.36130
2014-11-04,43.74160
2014-11-05,44.81120
2014-11-06,46.88520
2014-11-09,46.41600
2014-11-10,46.15500
2014-11-11,46.43520
2014-11-12,45.91870
2014-11-13,46.68500
2014-11-16,47.28000
2014-11-17,47.11500
2014-11-18,46.85950
2014-11-19,46.81250
2014-11-20,46.12500
2014-11-23,45.66450
2014-11-24,45.00370
2014-11-25,46.25500
2014-11-26,47.41000
2014-11-27,49.25800
2014-11-30,50.26250
2014-12-01,50.93000
2014-12-02,53.85500
2014-12-03,53.07950
2014-12-04,54.22370
2014-12-07,52.67500
2014-12-08,53.76020
2014-12-09,54.06000
2014-12-10,54.85500
2014-12-11,54.62550
2014-12-14,58.18500
2014-12-15,65.50950
2014-12-16,68.02500
2014-12-17,65.02000
2014-12-18,62.03050
2014-12-21,58.85800
2014-12-22,55.85000
2014-12-23,54.62000
2014-12-24,54.05000
2014-12-25,51.18000
2014-12-28,53.47500
2014-12-29,57.83000
2014-12-30,56.56000
2014-12-31,60.70000
2015-01-01,58.32500
